課程: 機率, 老師: 丁, 教室: A, 時間槽: B55
課程: 線代, 老師: 丙, 教室: B, 時間槽: B26
課程: 離散, 老師: 戊, 教室: A, 時間槽: B45
課程: 視窗, 老師: 丙, 教室: B, 時間槽: A22
課程: 科學, 老師: 乙, 教室: B, 時間槽: B53
課程: 系統, 老師: 乙, 教室: B, 時間槽: B32
課程: 計概, 老師: 戊, 教室: A, 時間槽: B24
課程: 軟工, 老師: 乙, 教室: B, 時間槽: A45
課程: 行動, 老師: 丁, 教室: A, 時間槽: B22
課程: 網路, 老師: 丙, 教室: A, 時間槽: A44
課程: 媒體, 老師: 丁, 教室: B, 時間槽: B11
課程: 工數, 老師: 丙, 教室: B, 時間槽: A57
課程: 動畫, 老師: 丁, 教室: B, 時間槽: B15
課程: 電子, 老師: 丙, 教室: A, 時間槽: B56
課程: 嵌入, 老師: 戊, 教室: A, 時間槽: A16
課程: 網站, 老師: 乙, 教室: B, 時間槽: A36
課程: 網頁, 老師: 丁, 教室: B, 時間槽: A51
課程: 演算, 老師: 乙, 教室: A, 時間槽: B16
課程: 結構, 老師: 戊, 教室: B, 時間槽: B54
課程: 智慧, 老師: 丁, 教室: A, 時間槽: A14
